t,h
5.179882812500000000e+01,5.355780211061772855e-26
5.179980468750000000e+01,-4.785634493499890675e-26
5.180078125000000000e+01,-1.457428778848427940e-26
5.180175781250000000e+01,3.671655064191224829e-26
5.180273437500000000e+01,-6.314937912387209143e-26
5.180371093750000000e+01,7.038564151505548042e-27
5.180468750000000000e+01,2.643816467354764214e-26
5.180566406250000000e+01,-6.168321484382199965e-26
5.180664062500000000e+01,3.446236516636950957e-26
5.180761718750000000e+01,8.812803065353702032e-27
5.180859375000000000e+01,-4.764712005778147322e-26
5.180957031250000000e+01,5.808443321191043472e-26
5.181054687500000000e+01,-3.421168063199695676e-26
5.181152343750000000e+01,-2.917331934241121989e-26
5.181250000000000000e+01,5.373328931758401346e-26
5.181347656250000000e+01,-3.620376368555348099e-26
5.181445312500000000e+01,-9.748209296979993707e-27
5.181542968750000000e+01,3.728436709930854087e-26
5.181640625000000000e+01,-5.037877119915848519e-26
5.181738281250000000e+01,2.129842403754726346e-26
5.181835937500000000e+01,1.710873431272838552e-26
5.181933593750000000e+01,-4.028811130678941520e-26
5.182031250000000000e+01,4.516018381960078289e-26
5.182128906250000000e+01,4.211326080482053536e-27
5.182226562500000000e+01,-4.802525118297978996e-26
5.182324218750000000e+01,4.489863855020271217e-26
5.182421875000000000e+01,-2.732035883692489196e-26
5.182519531250000000e+01,-3.166950997432262941e-26
5.182617187500000000e+01,6.520747842289219966e-26
5.182714843750000000e+01,-2.096170894206516229e-26
5.182812500000000000e+01,-1.009622319674113799e-26
5.182910156250000000e+01,4.630961211558013767e-26
5.183007812500000000e+01,-3.736593158895882902e-26
5.183105468750000000e+01,-5.315890379178891578e-28
5.183203125000000000e+01,3.230663897621063549e-26
5.183300781250000000e+01,-6.729915703719532601e-26
5.183398437500000000e+01,2.578862152510380306e-26
5.183496093750000000e+01,1.416384657031454951e-26
5.183593750000000000e+01,-4.666450509614619479e-26
5.183691406250000000e+01,3.403206084521033506e-26
5.183789062500000000e+01,1.618798277631815852e-28
5.183886718750000000e+01,-3.339874397851769785e-26
5.183984375000000000e+01,4.777720613825101849e-26
5.184082031250000000e+01,-4.162901408352393201e-26
5.184179687500000000e+01,-2.469780506942866964e-26
5.184277343750000000e+01,6.594887607163110192e-26
5.184375000000000000e+01,-4.498637469991851223e-26
5.184472656250000000e+01,-7.412736674663979916e-27
5.184570312500000000e+01,5.429233761484970935e-26
5.184667968750000000e+01,-4.440118686352092792e-26
5.184765625000000000e+01,3.062358055893901790e-27
5.184863281250000000e+01,2.599232719056425056e-26
5.184960937500000000e+01,-4.980290185285086238e-26
5.185058593750000000e+01,6.103837655369605111e-26
5.185156250000000000e+01,-1.622564448847817491e-26
5.185253906250000000e+01,-4.177466754894160980e-26
5.185351562500000000e+01,5.395260747596720888e-26
5.185449218750000000e+01,-3.989712306247367148e-27
5.185546875000000000e+01,-2.711647159243643696e-26
5.185644531250000000e+01,4.719480375738362862e-26
5.185742187500000000e+01,-2.758603649379947194e-26
5.185839843750000000e+01,-1.074931090924986115e-26
5.185937500000000000e+01,3.772801490764558092e-26
